lval,op,rval,Estimate,Std. Err,z-value,p-value
mean_num_c012,~,F1,1.0,-,-,-
mean_num_c016,~,F1,1.0675029976975965,0.7520810738515642,1.4193988318696433,0.15578277279801833
mean_num_c017,~,F1,1.0650906078797373,0.7612496287548749,1.399134485780224,0.16177265802809293
mean_num_year,~,F2,1.0,-,-,-
mean_num_c007,~,F2,1.343811050761,0.005530489773467949,242.98228648117856,0.0
mean_num_c008,~,F2,1.3423419930512246,0.005524446153186914,242.9821842020994,0.0
mean_num_c015,~,F2,-4.592034278429739,0.03733508559939177,-122.99514530593585,0.0
mean_num_c009,~,F3,1.0,-,-,-
mean_num_c011,~,F3,1.0,-,-,-
mean_num_c018,~,F4,1.0,-,-,-
mean_num_c014,~,F4,0.5469343938906288,2852875.926268637,1.9171334752226006e-07,0.9999998470348799
mean_num_c013,~,F4,0.5166117881365287,2814855.521675382,1.8353048110584558e-07,0.9999998535638628
mean_num_c019,~,F5,1.0,-,-,-
mean_num_c020,~,F5,1.1943753613100974,0.19181556242991224,6.226686438647465,4.764031391601975e-10
mean_num_c032,~,F5,-1.7264262990837849,1.96520138717303,-0.8784984126061477,0.3796732987816178
F1,~~,F2,0.6186090322640463,0.31474912892927476,1.9654034766243453,0.04936755742938037
F1,~~,F3,1.8728697083835517e-05,12186.679685337076,1.536817046760468e-09,0.9999999987737973
F1,~~,F4,-2.097155904625454e-07,3156.7089521942557,-6.643488317691442e-11,0.9999999999469926
F1,~~,F5,0.21655942981609302,1.391041350766401,0.15568151852324366,0.8762840656141986
F1,~~,F1,0.1511205929561454,7.998254549746513,0.01889419647952014,0.9849255092542859
F2,~~,F3,7.320309410771263e-05,470.9084521451199,1.5545079680403245e-07,0.9999998759682092
F2,~~,F4,-6.079883813190229e-05,152.34842162034184,-3.9907757156431164e-07,0.999999681582167
F2,~~,F5,0.6767042527524556,0.08356431522019213,8.098005122895348,6.661338147750939e-16
F2,~~,F2,1.1936108377802528,0.01383603000266508,86.26830365820777,0.0
F3,~~,F4,1.8289935472933097e-09,8334003.5492130555,2.1946157527926826e-16,0.9999999999999998
F3,~~,F5,4.132235039101182e-05,3664.251256091023,1.1277160735722575e-08,0.9999999910021276
F3,~~,F3,0.05000000928590445,64403425.38156635,7.763563659801165e-10,0.9999999993805573
F4,~~,F5,5.424545873214428e-06,949.1839231590483,5.714957597638817e-09,0.9999999954401235
F4,~~,F4,0.05000011894190942,4215635.772892907,1.1860635414334599e-08,0.9999999905365822
F5,~~,F5,0.6698867549989401,0.8477324117875276,0.7902101484896956,0.4294050502086182
mean_num_c007,~~,mean_num_c007,0.0006577592362400353,0.0001889582400506246,3.480976709895454,0.0004995889300487555
mean_num_c008,~~,mean_num_c008,0.0006577981980288895,0.0001885456696383809,3.4888003304541866,0.00048519342823039047
mean_num_c009,~~,mean_num_c009,11628033641.386648,114725232.44064614,101.3555030049949,0.0
mean_num_c011,~~,mean_num_c011,10701210528.181307,108545819.75112112,98.58703497488469,0.0
mean_num_c012,~~,mean_num_c012,2490.301918994209,21.848618706517264,113.97983334531159,0.0
mean_num_c013,~~,mean_num_c013,586034172.3571651,4916173.774727076,119.2053412289518,0.0
mean_num_c014,~~,mean_num_c014,587274904.7659225,4958841.655008239,118.42985633001561,0.0
mean_num_c015,~~,mean_num_c015,37.12774907729399,0.30317818550630987,122.46180910136364,0.0
mean_num_c016,~~,mean_num_c016,2606.0289753900433,23.146709709211866,112.58744798414223,0.0
mean_num_c017,~~,mean_num_c017,2752.3937131130056,24.23441148562319,113.57377977780565,0.0
mean_num_c018,~~,mean_num_c018,584903226.859615,6370167.759579102,91.81912454033416,0.0
mean_num_c019,~~,mean_num_c019,174.24389043127036,1.6513992225909053,105.51288146895875,0.0
mean_num_c020,~~,mean_num_c020,174.87378754742736,1.8626066643662347,93.88658963422937,0.0
mean_num_c032,~~,mean_num_c032,44055.45878627201,359.7318387614358,122.46749950728781,0.0
mean_num_year,~~,mean_num_year,0.6059797718522058,0.004949292872073865,122.43764662806244,0.0
