lval,op,rval,Estimate,Std. Err,z-value,p-value
mean_num_c012,~,F1,1.0,-,-,-
mean_num_c016,~,F1,1.029096883015406,1.8919134040575885,0.5439450245490924,0.5864793043571688
mean_num_c017,~,F1,1.0293321060537963,1.9183511061602398,0.5365712787131885,0.5915637877983466
mean_num_c007,~,F2,1.0,-,-,-
mean_num_c008,~,F2,0.9999145431812794,0.00010576226722364054,9454.359857968451,0.0
mean_num_c015,~,F2,-3.7662456140628096,0.02381284063237034,-158.16028301910976,0.0
mean_num_c048,~,F2,404.7862163888455,66.6090581142307,6.077044591963069,1.2241772040511023e-09
mean_num_c018,~,F4,1.0,-,-,-
mean_num_c014,~,F4,0.5469343914045565,37711872.55191752,1.4502976235178931e-08,0.9999999884282991
mean_num_c013,~,F4,0.5166117848483078,36890393.004607305,1.400396533546789e-08,0.9999999888264524
mean_num_c019,~,F5,1.0,-,-,-
mean_num_c020,~,F5,1.0549943674582005,0.38480566689162377,2.741628978537331,0.006113535360530609
mean_num_c032,~,F5,-1.724179933071584,4.214188449936541,-0.4091368844924669,0.6824392093893881
F1,~~,F2,0.3262198368865958,0.42536816845243436,0.7669117274869794,0.44313400049253104
F1,~~,F4,-9.408904754377138e-08,3232.556283877241,-2.9106700481303814e-11,0.9999999999767761
F1,~~,F5,0.0955516858916589,1.5215148534000908,0.06280036351802229,0.9499254763967031
F1,~~,F1,0.09480452641330069,8.387196778427532,0.011303481832825646,0.9909813184135543
F2,~~,F4,5.901684804981877e-06,204.28861783240825,2.8888955574722225e-08,0.9999999769499484
F2,~~,F5,0.4253480705157634,0.11263332015234274,3.776396451216038,0.00015911366338183797
F2,~~,F2,2.179897440752251,0.01780095195989154,122.4595991012985,0.0
F4,~~,F5,2.3736305716493258e-06,1014.9167757175435,2.3387440511771746e-09,0.9999999981339522
F4,~~,F4,0.05000005307189529,5277584.285362233,9.474041600922245e-09,0.9999999924408085
F5,~~,F5,0.32079741627517727,0.9538847897466538,0.3363062496887521,0.736639937559584
mean_num_c007,~~,mean_num_c007,0.0001654236891785395,0.0001701610995580769,0.972159257527131,0.3309713259437608
mean_num_c008,~~,mean_num_c008,0.00016773878544496947,0.00017013217089926873,0.9859321936140548,0.3241663876612204
mean_num_c012,~~,mean_num_c012,2490.298058187157,21.994375453083055,113.22431334770941,0.0
mean_num_c013,~~,mean_num_c013,586034172.3571651,5092263.148952958,115.08324593902066,0.0
mean_num_c014,~~,mean_num_c014,587274904.7659225,5149838.800025477,114.03753157536062,0.0
mean_num_c015,~~,mean_num_c015,37.07821920751167,0.30275203953480045,122.47058439098367,0.0
mean_num_c016,~~,mean_num_c016,2606.025289089935,23.056863761764248,113.02600891503106,0.0
mean_num_c017,~~,mean_num_c017,2752.3902218191133,24.16563527350279,113.89687010781583,0.0
mean_num_c018,~~,mean_num_c018,584903226.859615,7117608.320537809,82.17693367193033,0.0
mean_num_c019,~~,mean_num_c019,174.1894490994554,1.710332230841186,101.84538767282812,0.0
mean_num_c020,~~,mean_num_c020,174.81963030751618,1.7763286472077733,98.41626468289991,0.0
mean_num_c032,~~,mean_num_c032,44055.45856739003,359.7439801173801,122.4633656218935,0.0
mean_num_c048,~~,mean_num_c048,290139756.6752589,2368981.304595982,122.47448137829046,0.0
