lval,op,rval,Estimate,Std. Err,z-value,p-value
mean_num_c012,~,F1,1.0,-,-,-
mean_num_c016,~,F1,1.007994151152367,0.000754280570712707,1336.3649932856752,0.0
mean_num_c017,~,F1,0.9809095901856685,0.0015156562112739755,647.1847522163263,0.0
mean_num_c007,~,F2,1.0,-,-,-
mean_num_c008,~,F2,1.0001855078610533,5.8765619467587805e-05,17019.90891788007,0.0
mean_num_c015,~,F2,-1.702542682153622,0.029894964893526846,-56.95081724164602,0.0
mean_num_c048,~,F2,0.6646530870656692,0.010480463030057703,63.41829412460524,0.0
mean_num_c018,~,F4,1.0,-,-,-
mean_num_c014,~,F4,1.8249012829830644,1.3014259829648291,1.4022320953084735,0.16084595035849025
mean_num_c013,~,F4,1.724285813721264,1.2296884012134808,1.402213611202889,0.16085146830282326
mean_num_c019,~,F5,1.0,-,-,-
mean_num_c020,~,F5,1.0019533326637327,0.0019445056093250692,515.2740765279833,0.0
mean_num_c032,~,F5,0.22625758806877572,0.0168286547592829,13.444781611585704,0.0
F1,~~,F2,0.13675870781908545,0.004217404297181237,32.427222563903314,0.0
F1,~~,F4,-0.0007167789275568057,0.002375770848165893,-0.3017037303107153,0.7628779243472859
F1,~~,F5,0.34989339293447413,0.006094409734754882,57.41218725116366,0.0
F1,~~,F1,0.9899203023999934,0.008212108063116712,120.54399365803626,0.0
F2,~~,F4,-0.0032300775176863643,0.00307698071698218,-1.049755527816431,0.29383052675594934
F2,~~,F5,0.04613706035285841,0.0034117119008140345,13.523140781121338,0.0
F2,~~,F2,0.3450618557039254,0.008200701600412077,42.07711394406903,0.0
F4,~~,F5,0.002293045179838871,0.002979862253493106,0.7695138177549529,0.44158834487079957
F4,~~,F4,0.2992033909967496,0.21342681894982074,1.4019015626414506,0.16094464379560103
F5,~~,F5,5.0727368427749244e-18,0.02544357082085347,1.9937204876989803e-16,0.9999999999999998
mean_num_c007,~~,mean_num_c008,0.6549578659345776,0.007601717182895216,86.15919930856582,0.0
mean_num_c007,~~,mean_num_c007,0.6550376156386064,0.007601411957079957,86.1731503635099,0.0
mean_num_c019,~~,mean_num_c020,0.9928930236741486,0.026759995567995912,37.103631841572984,0.0
mean_num_c019,~~,mean_num_c019,0.9999110716715989,0.026721341773940175,37.419942459975424,0.0
mean_num_c013,~~,mean_num_c014,-0.7886206751591065,0.6713454230475346,-1.1746869019796586,0.24012000145517653
mean_num_c013,~~,mean_num_c013,0.11023871436217428,0.6344165331622519,0.17376393678221969,0.8620509874481825
mean_num_c008,~~,mean_num_c008,0.6549138131782322,0.007602125228330409,86.14877990321091,0.0
mean_num_c012,~~,mean_num_c012,0.01576408868429702,0.00021239917110376364,74.21916257091516,0.0
mean_num_c014,~~,mean_num_c014,0.0035700825383970475,0.7105886223229961,0.005024120041101998,0.9959913490518406
mean_num_c015,~~,mean_num_c015,2.7077710825400825e-19,0.015657154054020572,1.7294146005236613e-17,1.0
mean_num_c016,~~,mean_num_c016,0.0,0.0001716686536447793,0.0,1.0
mean_num_c017,~~,mean_num_c017,0.05305380794412096,0.0004626826109817076,114.66566188188303,0.0
mean_num_c018,~~,mean_num_c018,0.7011395600683646,0.2134240869023065,3.2851941420558664,0.0010191212325028065
mean_num_c020,~~,mean_num_c020,0.9999679088255763,0.026816239128171562,37.2896402067723,0.0
mean_num_c032,~~,mean_num_c032,1.000009923141104,0.008268285665876679,120.94525557422531,0.0
mean_num_c048,~~,mean_num_c048,0.8476770593699152,0.007321045740905696,115.78633562112694,0.0
