feature,null_ratio,family,base
mean_num_c007,0.0,mean,c007
std_num_c007,0.004799223583646731,std,c007
min_num_c007,0.0,min,c007
max_num_c007,0.0,max,c007
mean_num_c008,0.0,mean,c008
std_num_c008,0.006623802013829916,std,c008
min_num_c008,0.0,min,c008
max_num_c008,0.0,max,c008
mean_num_c009,0.0,mean,c009
std_num_c009,0.004799223583646731,std,c009
min_num_c009,0.0,min,c009
max_num_c009,0.0,max,c009
mean_num_c011,0.0,mean,c011
std_num_c011,0.004799223583646731,std,c011
min_num_c011,0.0,min,c011
max_num_c011,0.0,max,c011
mean_num_c012,0.0,mean,c012
std_num_c012,0.004799223583646731,std,c012
min_num_c012,0.0,min,c012
max_num_c012,0.0,max,c012
mean_num_c013,0.0,mean,c013
std_num_c013,0.004799223583646731,std,c013
min_num_c013,0.0,min,c013
max_num_c013,0.0,max,c013
mean_num_c014,0.0,mean,c014
std_num_c014,0.004799223583646731,std,c014
min_num_c014,0.0,min,c014
max_num_c014,0.0,max,c014
mean_num_c015,0.0,mean,c015
std_num_c015,0.006623802013829916,std,c015
min_num_c015,0.0,min,c015
max_num_c015,0.0,max,c015
mean_num_c016,0.0,mean,c016
std_num_c016,0.006623802013829916,std,c016
min_num_c016,0.0,min,c016
max_num_c016,0.0,max,c016
mean_num_c017,0.0,mean,c017
std_num_c017,0.006623802013829916,std,c017
min_num_c017,0.0,min,c017
max_num_c017,0.0,max,c017
mean_num_c018,0.0,mean,c018
std_num_c018,0.006623802013829916,std,c018
min_num_c018,0.0,min,c018
max_num_c018,0.0,max,c018
mean_num_c019,0.0,mean,c019
std_num_c019,0.004799223583646731,std,c019
min_num_c019,0.0,min,c019
max_num_c019,0.0,max,c019
mean_num_c020,0.0,mean,c020
std_num_c020,0.004799223583646731,std,c020
min_num_c020,0.0,min,c020
max_num_c020,0.0,max,c020
mean_num_c021,0.0,mean,c021
std_num_c021,0.004799223583646731,std,c021
min_num_c021,0.0,min,c021
max_num_c021,0.0,max,c021
mean_num_c022,5.337862428727405e-05,mean,c022
std_num_c022,0.004847749605726071,std,c022
min_num_c022,5.337862428727405e-05,min,c022
max_num_c022,5.337862428727405e-05,max,c022
mean_num_c023,0.0005920174693679486,mean,c023
std_num_c023,0.005381535848598811,std,c023
min_num_c023,0.0005920174693679486,min,c023
max_num_c023,0.0005920174693679486,max,c023
mean_num_c024,0.5389930850418537,mean,c024
std_num_c024,0.5411379352177605,std,c024
min_num_c024,0.5389930850418537,min,c024
max_num_c024,0.5389930850418537,max,c024
mean_num_c028,0.0,mean,c028
std_num_c028,0.004799223583646731,std,c028
min_num_c028,0.0,min,c028
max_num_c028,0.0,max,c028
mean_num_c031,0.0,mean,c031
std_num_c031,0.004799223583646731,std,c031
min_num_c031,0.0,min,c031
max_num_c031,0.0,max,c031
mean_num_c032,0.0,mean,c032
std_num_c032,0.004799223583646731,std,c032
min_num_c032,0.0,min,c032
max_num_c032,0.0,max,c032
mean_num_c033,0.7545456751182822,mean,c033
std_num_c033,0.7562101176756035,std,c033
min_num_c033,0.7545456751182822,min,c033
max_num_c033,0.7545456751182822,max,c033
mean_num_c039,0.0,mean,c039
std_num_c039,0.004799223583646731,std,c039
min_num_c039,0.0,min,c039
max_num_c039,0.0,max,c039
mean_num_c048,0.004799223583646731,mean,c048
std_num_c048,0.010564115006672328,std,c048
min_num_c048,0.004799223583646731,min,c048
max_num_c048,0.004799223583646731,max,c048
mean_num_c072,0.7545456751182822,mean,c072
std_num_c072,0.7562101176756035,std,c072
min_num_c072,0.7545456751182822,min,c072
max_num_c072,0.7545456751182822,max,c072
mean_num_c101,1.941040883173602e-05,mean,c101
std_num_c101,0.005017590683003761,std,c101
min_num_c101,1.941040883173602e-05,min,c101
max_num_c101,1.941040883173602e-05,max,c101
mean_num_c105,0.0,mean,c105
std_num_c105,0.004799223583646731,std,c105
min_num_c105,0.0,min,c105
max_num_c105,0.0,max,c105
mean_num_c108,0.0,mean,c108
std_num_c108,0.004799223583646731,std,c108
min_num_c108,0.0,min,c108
max_num_c108,0.0,max,c108
mean_num_year,0.0,mean,
std_num_year,0.004799223583646731,std,
min_num_year,0.0,min,
max_num_year,0.0,max,
