feature,extreme_rate_p01_p99,family
mean_num_c007,0.01398,mean
std_num_c007,0.0,std
min_num_c007,0.01398,min
max_num_c007,0.01398,max
mean_num_c008,0.01398,mean
std_num_c008,0.00032216494845360824,std
min_num_c008,0.01398,min
max_num_c008,0.01398,max
mean_num_c009,0.01952,mean
std_num_c009,2.0099694484643833e-05,std
min_num_c009,0.01952,min
max_num_c009,0.01952,max
mean_num_c011,0.02,mean
std_num_c011,0.019958996623251325,std
min_num_c011,0.01,min
max_num_c011,0.01978,max
mean_num_c012,0.00102,mean
std_num_c012,0.0,std
min_num_c012,0.00102,min
max_num_c012,0.00102,max
mean_num_c013,0.00956,mean
std_num_c013,0.0,std
min_num_c013,0.00956,min
max_num_c013,0.00956,max
mean_num_c014,0.01176,mean
std_num_c014,2.0099694484643833e-05,std
min_num_c014,0.01176,min
max_num_c014,0.01176,max
mean_num_c015,0.01666,mean
std_num_c015,0.012765786082474227,std
min_num_c015,0.00584,min
max_num_c015,0.01354,max
mean_num_c016,0.0191,mean
std_num_c016,0.01602770618556701,std
min_num_c016,0.01554,min
max_num_c016,0.00632,max
mean_num_c017,0.01906,mean
std_num_c017,0.01997422680412371,std
min_num_c017,0.01442,min
max_num_c017,0.00662,max
mean_num_c018,0.01788,mean
std_num_c018,0.0033625966494845363,std
min_num_c018,0.01788,min
max_num_c018,0.01816,max
mean_num_c019,0.00894,mean
std_num_c019,0.000120598166907863,std
min_num_c019,0.00894,min
max_num_c019,0.00894,max
mean_num_c020,0.01874,mean
std_num_c020,0.00014069786139250684,std
min_num_c020,0.01874,min
max_num_c020,0.01874,max
mean_num_c021,0.00894,mean
std_num_c021,0.0,std
min_num_c021,0.00894,min
max_num_c021,0.00894,max
mean_num_c022,0.0069002760110404415,mean
std_num_c022,0.0,std
min_num_c022,0.0069002760110404415,min
max_num_c022,0.0069002760110404415,max
mean_num_c023,0.018792026897214216,mean
std_num_c023,0.00014078841512469832,std
min_num_c023,0.018792026897214216,min
max_num_c023,0.018792026897214216,max
mean_num_c024,0.0173909272269928,mean
std_num_c024,0.00017431472523641434,std
min_num_c024,0.0173909272269928,min
max_num_c024,0.0173909272269928,max
mean_num_c028,0.00482,mean
std_num_c028,0.0,std
min_num_c028,0.00482,min
max_num_c028,0.00482,max
mean_num_c031,0.00888,mean
std_num_c031,0.0008642868628396848,std
min_num_c031,0.00888,min
max_num_c031,0.00888,max
mean_num_c032,0.01582,mean
std_num_c032,0.0001808972503617945,std
min_num_c032,0.01582,min
max_num_c032,0.01582,max
mean_num_c033,0.0,mean
std_num_c033,0.0014632956670189415,std
min_num_c033,0.0,min
max_num_c033,0.0,max
mean_num_c039,0.01,mean
std_num_c039,0.01000964785335263,std
min_num_c039,2e-05,min
max_num_c039,0.00942,max
mean_num_c048,0.02001929570670526,mean
std_num_c048,0.02002467687453225,std
min_num_c048,0.02001929570670526,min
max_num_c048,0.02001929570670526,max
mean_num_c072,0.0004036815759728726,mean
std_num_c072,0.0007316478335094707,std
min_num_c072,0.0004036815759728726,min
max_num_c072,0.0004036815759728726,max
mean_num_c101,0.0,mean
std_num_c101,0.0,std
min_num_c101,0.0,min
max_num_c101,0.0,max
mean_num_c105,0.0,mean
std_num_c105,0.0,std
min_num_c105,0.0,min
max_num_c105,0.0,max
mean_num_c108,0.0,mean
std_num_c108,0.0,std
min_num_c108,0.0,min
max_num_c108,0.0,max
mean_num_year,0.0,mean
std_num_year,0.0,std
min_num_year,0.0,min
max_num_year,0.0,max
