,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22
mean_num_c009,0.1809957401914953,-0.2718044359470472,0.5130276242705731,0.041249642467974926,0.18793944613542946,0.012759452167147611,-0.09510396659522681,0.027836273336411744,0.025204777240091302,0.009788518141547086,-0.08167023157552819,0.06881994945800626,-0.23672871303686155,-0.12259987599632748,0.039293099487255734,-3.702074104270824e-05,-0.04477611716554699,-0.2362283061496411,0.011781100459464653,-0.6632116766772961,0.024710986381275397,0.0001180790991963974
mean_num_c011,0.2026838863636805,-0.2704344073887988,0.4857432709834748,0.04031389556101071,0.17137060738092671,0.03860188611274458,-0.16726056226969194,0.007652397419668815,0.020444577408813523,0.01015995648964978,-0.08888414124346511,0.07089826843748705,-0.23801351443609903,-0.13294417677000658,-0.020336346857111623,0.008399911881384272,-0.05676167985063777,0.22298413473700496,-0.015570160841186557,0.6687599146134117,-0.025241528164547562,-0.00013626122421038226
mean_num_c018,-0.013734362444412066,-0.09046603137541065,-0.08888134690720545,0.6545309591812216,-0.004495764095829746,-0.030698714282481238,0.0065862526861048334,0.007188473411732023,0.007204669754782844,0.008777285406384857,-0.005042219015538579,-0.014276208671542575,-0.005424565232970281,-0.0012423211029212668,0.04161754397107901,0.7320667188714569,0.12732261973891754,-0.0020097463496092714,-6.573006182732535e-05,-0.0009767826766362315,-0.0001262277039045752,-5.5766553997009e-05
mean_num_c048,0.05321112130980593,-0.001292170207415236,0.21084243307881467,-0.0007101031975693419,0.0036112369954462023,-0.3237634299831404,0.7352257882223571,0.21114616827059215,0.09207245838606487,-0.0113428865245721,0.08720368591809294,-0.021707655938494788,-0.0330312994707778,0.05474301998022184,0.4100272830221375,-0.0632797735303762,0.25431958683670436,0.03391235721180681,-0.0017245035489688876,0.06326766843324459,-0.0024215650911459984,3.010267035718212e-06
mean_num_c014,-0.009571607145889522,-0.06396093430042343,-0.06080147546424157,0.5302316791500618,0.012975087044265433,-0.0057458334387179184,0.0183412177509803,-0.026327718808958043,-0.005106063080871204,0.03143393585210888,-0.20996411068098567,-0.623568861193962,-0.12355948339717422,0.05157675411003954,-0.07773956849999612,-0.501728371159195,0.010238247199761389,9.577037251355734e-05,1.225345037105314e-06,7.195453840327866e-05,0.00023084259011095943,-3.582663297802286e-05
mean_num_c013,-0.007872177085327805,-0.07197180260402397,-0.07865071208862322,0.49464847060162137,-0.018533115182264175,-0.03145384224625733,-0.016269831861302403,0.0355895410059146,0.011416226794172197,-0.015417797648388323,0.22845926387582752,0.6827074158879053,0.14001332676372977,-0.07147311557831153,-0.029904766533419874,-0.44351778743675024,-0.007982678510707011,0.0012466357498012069,4.2336673489634636e-05,-0.00025384413014214574,7.854179936829757e-05,3.1311858274823756e-05
mean_num_c031,0.007630489959794544,-0.10950641334850472,0.2485791904645637,0.005116129216697142,-0.09924954755165087,-0.19698604600092084,-0.14868712911900178,-0.05687160723042728,-0.31049652984048987,0.5418726426860997,0.5251826577873951,-0.22990864114519746,0.36485947669799573,0.009982426360127451,-0.006647318846901132,0.0018634471277210578,0.012498875503020812,0.0008684380492843265,-0.00037809835945388365,0.0006208331409876215,-3.938905926916728e-05,1.2016815001300557e-05
mean_num_c032,0.002416666339687728,-0.09929778938502389,0.2556909300242017,0.014982576717458729,-0.19998550983673277,-0.2279924568592087,0.00026203749736030893,-0.33806095654717017,-0.08897866049072617,-0.32108279914532495,-0.4519917936407844,0.018121106915381872,0.629567829656483,-0.06927045875191827,0.0076413754174466985,-0.00251246190036353,0.037627768373678296,0.0008293791184779014,0.0003345647519519859,-8.282379993443735e-05,-8.145884793212091e-05,4.242193343025935e-06
mean_num_c017,0.3723252954747332,-0.19603287655785828,-0.11797980833591404,-0.04079548377202889,-0.34515553431022084,0.03448370368550437,0.03923530769981909,0.01229322760025991,0.022914824514646742,-0.009222851328475987,0.026845601888251153,-0.006442159143640872,-0.0566340124912545,0.008327492438712092,-0.08761025626433896,0.0055224532504278565,0.02591129730272544,0.7706814856020365,0.0036090694606539754,-0.27943516957538084,0.016609910787498215,0.0002246704252599922
mean_num_c012,0.354716122922965,-0.23075382070161926,-0.14355468323789855,-0.046808039903152396,-0.37098094275197324,0.07275313590438612,0.006410610658955588,0.007124234548487424,0.015615879813266785,-0.006497524216689694,0.022589147250393262,-0.008558122981989272,-0.05202850495680624,0.016988194733086315,0.035401333258836584,-0.009584738633247577,0.053431701558581984,-0.3787637882086863,-0.0005372921253939951,0.09254787349499397,-0.702197575326097,-0.04409558657033126
