feature,null_ratio,std,p01,p99
mean_num_c009,0.0,151786.61593475408,62418.33307667275,740987.4128361053
mean_num_c011,0.0,145609.7772099447,53908.337344954794,709913.7136136729
mean_num_c018,0.0,34129.94029403101,12037.474382470598,122052.22372395576
mean_num_c048,0.004799223583646731,23632.38282594624,82.60287255565174,92618.21924205165
mean_num_c014,0.0,34161.23409341796,12021.0,122022.87975991431
mean_num_c013,0.0,34228.29719856759,12020.0,122022.51439519573
mean_num_c031,0.0,13577.334498974456,0.0,48799.23090211709
mean_num_c032,0.0,297.64544562339324,19.08737919348293,985.6394417698434
mean_num_c017,0.0,74.94236110116437,95.15528279082876,359.0680376419743
mean_num_c012,0.0,71.08802346734929,120.0,360.0
mean_num_c016,0.0,72.7402444732952,101.20317582601234,359.6743892650877
mean_num_c023,0.0005920174693679486,43.21310858998219,640.2016281002092,819.184981549747
mean_num_c020,0.0,18.724829371851552,21.71337474913921,97.34840511225552
mean_num_c019,0.0,18.679986971060444,21.61459025775313,97.0
mean_num_c015,0.0,8.637693742912079,0.49369166273954557,30.496032256700424
mean_num_c022,5.337862428727405e-05,9.876740366889083,11.596097760277296,50.0
mean_num_c008,0.0,1.4658228312507924,2.0105160938687545,7.626161699733461
mean_num_c007,0.0,1.4658466039130555,2.0105160938687545,7.626161699733461
mean_num_year,0.0,1.262309918670125,2020.0,2024.982722813622
mean_num_c021,0.0,0.5210031990972029,1.0,2.2379921863018812
mean_num_c028,0.0,0.19680424673104233,1.0,1.999313029754251
mean_num_c039,0.0,0.31290016204354637,0.0,0.7623928069254413
