,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,loading_norm_top10
mean_num_c039,0.022965419380786504,-0.039251694691947774,-0.06645785224368275,-0.03280894527327848,0.024424404555661222,0.2745757258679276,-0.2731886718798481,-0.04919321114238543,0.8234304205143701,0.3485413684591123,0.9798572984031445
mean_num_c028,0.02680321065683714,0.02133290306727627,0.06450213691266934,0.009749691595096564,-0.031002526013142774,-0.04498636907805335,-0.23358682610149342,0.8872807557895331,0.0514524373737276,-0.19189832427828377,0.9432477310465371
mean_num_c048,0.055524736152956757,-0.0009396631838752365,0.21003602523360765,-0.011183695499013366,-0.0017557073544740474,0.5359471122822346,0.6121078726000903,0.19348664043353386,0.0720399894501243,-0.03220758507365483,0.8677019604946143
mean_num_c021,-0.01716092145354682,-0.02604203007232756,0.21938912499297397,0.04144650320968859,0.019851049325662395,-0.3612766813865551,0.16118475898502654,-0.15931043244941903,0.4153028473784246,-0.4896200097342849,0.8033066285118273
mean_num_c031,0.003380910737688278,-0.10867567784907908,0.24843800876131575,0.01204651192486291,-0.10096820737757058,0.15943763046809303,-0.225281044570941,-0.026668149727667786,-0.2633291610662094,0.5160566486811923,0.7045727670292867
mean_num_c023,-0.08612905639676002,-0.0070717064510114015,0.21211925752525312,0.04929407507758316,-0.09467386963543563,-0.4159396979852128,0.3105927882437704,0.07187710329184918,-0.059129965236944845,0.39001222352307735,0.7029237284112168
mean_num_c022,0.1496941358490286,-0.019669870584019825,-0.027876092162315017,-0.008220594067723313,0.13246877372961022,0.3650869747514194,-0.3564091939895183,-0.06387483541838121,-0.2386025316885844,-0.3183397949037104,0.6810692103241341
mean_num_c018,-0.014966390543961575,-0.09053928286767163,-0.09337467973494239,0.6533636373185647,0.004152925133991071,0.03321165818428604,0.009771955236098945,0.001705081398191278,0.010034416200101768,0.001638165761659556,0.6673426859624846
mean_num_c019,0.24967189162634454,-0.24396371644666556,-0.23869283579257045,-0.06830697017877832,0.47962198808067885,-0.04812405770440703,0.13419812896660943,-0.008961781241560721,-0.03486560591141892,0.05650863910791399,0.6620769781040636
mean_num_c020,0.25024667312501075,-0.24488223507100207,-0.23704286797232713,-0.06831363619315395,0.4799607678081349,-0.046213724860512534,0.1330400600809844,-0.009846181506636515,-0.0340666104333729,0.05684312086337164,0.661916238524906
mean_num_c009,0.18326629726299035,-0.2620451322605901,0.5184610612450435,0.046367233018899494,0.18383913677066172,-0.04186395447328978,-0.08384117904965828,0.027495466993854852,0.02503106680190305,0.0068611509340870385,0.6459213357514018
mean_num_c011,0.20463680319089161,-0.2607842228580032,0.49079562899628737,0.04605648004596031,0.16765083725109065,-0.08942577195623629,-0.1464184293950117,0.009317162888541258,0.02086830526718947,0.010078264430643993,0.6411335090278298
mean_num_c032,0.003512580645725571,-0.10186575221999808,0.25577725390168543,0.013206367692348894,-0.20754400266096049,0.21279838520810224,-0.08343333461499296,-0.35145271503458403,-0.06679604917186147,-0.2564077957223075,0.6041770016884624
mean_num_c015,-0.24093944172677573,-0.3317517760644899,-0.1517637908485211,-0.06325536058623943,-0.03171795567379214,-0.2641896643426963,-0.30306732149496834,-0.038494802113231606,-0.021411354484851257,-0.026951031700905115,0.6003858818903759
mean_num_c012,0.3541687642099452,-0.23169062166357662,-0.14373140080199726,-0.04051067779979293,-0.3702563927359283,-0.0753715696802183,0.029360724116207236,0.013689463824934193,0.007155273214775222,-0.007904773239303692,0.5876646110616365
mean_num_c016,0.3748653957704857,-0.18835570438286656,-0.12373299666662871,-0.03299253077863265,-0.35778351123723895,-0.03772285410122252,0.0592885863033392,0.016779652276581906,0.022032802026431333,0.0006260876325317459,0.5710646916532595
mean_num_c017,0.37159630346614236,-0.1974093519004097,-0.1188416704356781,-0.0362800470178135,-0.34471192809457923,-0.027078524347497735,0.047465682690053954,0.01629013622408231,0.013035907564966743,-0.009421422665856164,0.561097555622052
mean_num_year,0.26882017020266524,0.4189919599823653,0.10477841364914503,0.008243617503557555,0.08216819703417952,-0.13941891010328958,-0.11922038829729859,-0.0688785776234032,-0.028941053912125744,0.06810122121917574,0.5563159040568018
mean_num_c014,-0.011666141334934902,-0.06502977160401778,-0.062448045523780187,0.5302937041215696,0.01872754384802548,0.018285587385956054,0.02546955465293004,-0.029164811940636734,-0.02668018241550296,0.031168779420400323,0.5416122543738231
mean_num_c008,0.3393237004582925,0.3791613350665575,0.014693943020578488,0.09813010863462963,0.04386114619592996,-0.0849933088785601,-0.07348906603192265,-0.04301012803985623,0.014355132033731895,0.030355080021313798,0.5350467262053866
mean_num_c007,0.3393587016161996,0.3790548178669264,0.014632411070140648,0.09802947785022857,0.04385305390516694,-0.0847396414058689,-0.07380909922085918,-0.04309446834407482,0.015179671542325083,0.03072927486953215,0.535027376445611
mean_num_c013,-0.008926092443618507,-0.07017870622593349,-0.07914484413124587,0.49509099153124925,-0.008003997351451245,0.02668751545774986,-0.02186123387665007,0.038450967825243446,0.026971972544272648,-0.022158499390302778,0.5102302289243442
