,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,loading_norm_top10
mean_num_c028,0.01684095076210927,0.01604583911439761,0.05719700241321146,-0.0036190184402593722,-0.0151740852104577,-0.08293463786653452,-0.2008496791049878,-0.30486652606422376,-0.4796952618563533,0.6605633141313269,0.9003719878526065
mean_num_c048,0.049851605456993305,-0.0007971890070168144,0.20633736530433017,-0.021804804232729326,0.011086016908963906,-0.07055404542001598,0.801135144523979,0.07120399225419957,-0.09879022810783557,0.18827277212370108,0.8618183237657939
mean_num_c021,-0.015203158401220485,-0.029262897942667863,0.2063128130081854,0.023301072496533844,0.05442135120160527,0.06413110458710483,-0.13437523283565747,0.351706041782909,0.537750709638898,0.43568932286865364,0.8197711307795049
mean_num_c072,-0.004405844861192974,-0.010633324743057582,0.03150382247500346,-0.00849405108471746,-0.010873513440736707,-0.020025236546719366,0.0658971210491827,-0.5699449727772131,0.4747202742779618,-0.1310799852841516,0.7572564731324005
mean_num_c024,-0.07421584228458743,-0.0077490928687374795,0.21404721163614782,0.048165787809815425,-0.2162295851192802,0.5206003341920425,0.024924295715988393,-0.14316257735736815,-0.2514634227345532,-0.16433634654834955,0.6948677319428136
mean_num_c033,0.05333926502629163,-0.024201535370546323,-0.035764917232921106,0.002062385994748887,0.04480114928842921,0.07648875325788776,-0.11278230281953608,0.6020540158037113,-0.23085542104409426,-0.14524135616398096,0.6798161584880631
mean_num_c018,-0.011900756867344538,-0.0983932787283408,-0.05666417228292495,0.6568712910980757,0.025796950429800455,-0.0333383839295163,0.02083851640807995,-0.0073333601643173485,-0.005741834902508252,0.004109462572338973,0.6684522388210473
mean_num_c019,0.24925446747175775,-0.2422047427791669,-0.23781541624878264,-0.06022306514432386,0.4048656537266509,0.28954942114489707,0.09399729292903967,-0.03490056471168854,-0.00979994752498004,-0.037403765716978746,0.663534176037414
mean_num_c020,0.25022136140881507,-0.24335932530401358,-0.23547464676372581,-0.06030380897196183,0.4060521073666666,0.28650013562095616,0.09389728149826494,-0.03613830926018013,-0.008703300980758465,-0.03780784416660506,0.6629538811771961
mean_num_c023,-0.09169145423632807,-0.021423037989022765,0.27464932377825463,0.056989837409299665,-0.20126708033904114,0.5283727095430493,-0.02044074872166768,-0.038978875029573076,-0.08304076168263975,-0.06640401362717023,0.6484404042069033
mean_num_c009,0.1771877945274386,-0.2696187692201454,0.4984641656198334,-0.0006031532543407108,0.2228661085383045,-0.0518208615862768,-0.09121214807885462,-0.025630671439645137,-0.004228341587332876,0.039469805285245914,0.6445647517156057
mean_num_c011,0.19929658069343154,-0.2683034956759459,0.47167903400191985,0.0013313157501787137,0.2066509821765312,-0.05379497291419038,-0.16837894711526344,-0.03254095450567491,0.005793079385245299,0.02361863494508608,0.6401477073060703
mean_num_c015,-0.24085554376811227,-0.3303242945689445,-0.16430175192995766,-0.05606489125747771,-0.03715821838657724,0.01649421494018842,-0.39838820202372877,-0.03933936762666129,0.0403899314105284,-0.037145152116834966,0.6018210006534523
mean_num_c012,0.35134695678233796,-0.23267581021468314,-0.12046160335595764,-0.0287057858293604,-0.3853077378259093,-0.015109877965858809,-0.027669045798868575,0.008316659836449197,0.0401942568673393,0.043937931030182724,0.5882082632517901
mean_num_c016,0.3723681891652892,-0.18899020221002952,-0.09980427766251991,-0.022211840691407147,-0.3707814690128065,-0.020718014526178087,0.019133537349980863,0.013169703724261324,0.030150783198184598,0.04656148417681414,0.5712743065405477
mean_num_c017,0.36932374649420363,-0.19714164314066082,-0.09790645896043247,-0.02521084318128825,-0.3559035952738582,-0.0331980135452053,0.017666364765622833,0.010565157974682307,0.03180664975290194,0.04699965594332342,0.5629386728333373
mean_num_year,0.2710403112416494,0.41461443627040107,0.11373050379311252,0.004677467466630211,0.06882852290591931,0.06484889684708808,-0.17987172188833545,-0.011980437320359475,0.01620281082596604,-0.08401243119264247,0.5541527038203878
mean_num_c014,-0.008070290415652768,-0.0743631173433691,-0.036030912618033185,0.5261489191257832,0.03175790096307056,-0.0059605054620705325,0.026935814852018087,0.0016713569733113152,0.025675503594078303,-0.027048136688144615,0.5356203610839145
mean_num_c008,0.33987557026410453,0.3744093240464638,0.03369680117562715,0.10342955086789912,0.040032586498799184,0.040893746598284715,-0.11050006635921027,-0.012983852607781454,0.022427371431266406,-0.03372603132980674,0.5336900555215728
mean_num_c007,0.3398990486310865,0.3743347574276389,0.03360881603629423,0.103382200359736,0.04007701945399297,0.04070262647014637,-0.11058053296111159,-0.012972230195014721,0.022135261519159646,-0.03374488788839962,0.5336320804847766
mean_num_c032,-0.0014130364796058961,-0.10139922320179909,0.24396047116555145,-0.0015272599166282885,-0.12738603352195638,-0.2728509538259748,0.04324881409028096,0.16746600754866722,0.02914300890981493,-0.29660312377751,0.528408685867098
mean_num_c013,-0.005384697251151438,-0.07767538503262658,-0.049707587457700354,0.500002506688545,0.0017898873954098058,-0.04023353836240684,0.006595660095742993,-0.009785237080406689,-0.032726763595143364,0.03588633214037459,0.5124996352612499
mean_num_c031,0.0059278764310205165,-0.1094674753321257,0.23193447079140164,-0.005052248326209813,-0.05143193682536054,-0.18251135117932257,-0.05855663458329259,-0.10905367488365211,-0.15533702734100105,-0.3441703754107131,0.5096051923761754
mean_num_c022,0.14982546781944595,-0.011347708383660218,-0.046884258832688236,-0.01130925280465686,0.1957725359944741,-0.3076728934983995,-0.020886104098331755,-0.14736791661680534,-0.17668083644567792,-0.19459963536425653,0.4991298805972066
mean_num_c039,0.024954931290768465,-0.0375938781495426,-0.07984729776244405,-0.032928780322951205,0.07291020643109432,-0.20328368903433397,-0.058928830332090655,0.023211968764734234,-0.2399360308020259,-0.01984116060213352,0.3436720432361607
mean_num_c101,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0
mean_num_c105,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0
mean_num_c108,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0
