column,dq_ratio,zbc_ratio,approx_unique_sample
period_raw,0.0,0.0,64
period_date,0.0,0.0,67
cat_c003,0.59248,0.0,3
cat_c025,0.0,0.0,2
cat_c026,0.343955,0.0,3
cat_c027,0.0,0.0,5
cat_c029,0.0,0.0,3
cat_c030,0.0,0.0,57
cat_c034,0.0,0.0,1
cat_c035,0.0,0.0,1
cat_c036,0.0,0.0,1
cat_c041,0.0,0.0,2
cat_c073,0.0,0.0,2
cat_c078,0.932055,0.0,3
cat_c080,0.0,0.0,2
cat_c085,0.0,0.0,3
cat_c086,0.0,0.0,2
cat_c102,0.0,0.0,1
cat_quarter,0.0,0.0,1
txt_c004,0.0,0.0,20
txt_c005,0.0,0.0,28
num_c012,0.0,0.0,30
num_c013,0.0,0.0,17
num_c014,0.0,0.0,15
num_c015,0.0,0.0,89
num_c019,0.0,0.0,121
num_c020,0.0,0.0,127
num_c021,0.0,0.0,4
num_c022,0.0,0.0,52
num_c028,0.0,0.0,4
num_c033,0.0,0.0,7
num_c039,0.0,0.0,46
num_c072,0.0,0.0,3
num_c101,0.0,0.0,1
num_c105,0.0,0.0,1
num_c108,0.0,0.0,1
num_year,0.0,0.0,1
quarter,0.0,0.0,1
year,0.0,0.0,1
