year,cluster,n_loans,total_year,share
2020,0,54433,72118,0.7547768934246651
2020,1,17678,72118,0.245126043428825
2020,2,7,72118,9.706314650988657e-05
2021,0,103831,140302,0.7400535986657354
2021,1,36464,140302,0.25989650895924504
2021,2,7,140302,4.9892375019600575e-05
2022,0,107307,156023,0.6877639835152509
2022,1,38125,156023,0.24435499894246362
2022,2,10591,156023,0.06788101754228543
2023,0,100622,161696,0.6222912131407085
2023,1,36629,161696,0.2265300316643578
2023,2,24445,161696,0.1511787551949337
2024,0,96470,169769,0.5682427298270002
2024,1,35543,169769,0.20936095518027437
2024,2,37756,169769,0.2223963149927254
2025,0,92128,164052,0.5615780362324141
2025,1,33869,164052,0.20645283202886888
2025,2,38055,164052,0.231969131738717
