year,cluster,n_loans,total_year,share
2020,0,16959,72118,0.2351562716658809
2020,1,55159,72118,0.7648437283341191
2021,0,35398,140302,0.2522986129919745
2021,1,104904,140302,0.7477013870080256
2022,0,37311,156023,0.23913781942405926
2022,1,118712,156023,0.7608621805759407
2023,0,35807,161696,0.22144641796952305
2023,1,125889,161696,0.778553582030477
2024,0,34650,169769,0.2041008664714995
2024,1,135119,169769,0.7958991335285005
2025,0,33030,164052,0.20133859995611147
2025,1,131022,164052,0.7986614000438885
